S6_T,S6_H,S6_R,S6_P,S6_V,S2_T,S2_H,S2_R,S2_P,S2_V,S3_T,S3_H,S3_R,S3_P,S3_V,S5_T,S5_H,S5_R,S5_P,S5_V
0.51182754,-0.681441961,0.168844642,-0.25676227,-0.792649221,0.446487104,-1.014391727,1.421533301,-0.253792305,0.875826114,-0.156982517,-0.377936491,0.05150876,-0.253792305,1.202738097,0.308414705,-0.532047668,0.586609848,-0.253792305,2.01635677
0.266014615,-0.359401977,-0.122586874,-0.293442594,0.553628709,-0.139788801,-0.5479431,-0.211275173,-0.253792305,0.31452319,-0.49942961,-0.023777345,-0.437053283,-0.253792305,1.659597501,-0.008361115,-0.219863365,0.027752338,-0.253792305,1.537910899
-0.142645518,-0.00765092,-0.949998549,-0.293442594,-0.308479465,-0.671823303,-0.069009887,-0.957026759,-0.292837275,-0.195972142,-0.724636596,0.206739609,-0.946337388,-0.292837275,1.311381492,-0.385715577,0.072474985,-0.909623736,-0.292837275,0.457105119
-1.61197146,1.194117374,-1.128710379,-0.25676227,-0.830102578,-1.496493522,0.289519838,-1.076628305,-0.253792305,0.522592377,-1.813247423,0.676298136,-1.216075479,-0.253792305,-1.153291424,-1.88282839,1.034428005,-1.252773485,-0.253792305,-0.026848042
-1.545043725,1.14062469,-0.868356051,-0.220081946,-0.435820878,-1.433546708,0.468057071,-0.851390822,-0.175702365,0.661305169,-1.806623688,0.793811057,-1.049881833,-0.175702365,-1.631740221,-1.394728596,0.543155983,-0.83185267,-0.175702365,-0.882543318
-1.333465724,0.867869384,-0.554651855,-0.183401621,0.133470144,-1.198500629,0.396749407,-0.390324557,-0.175702365,0.919375479,-1.035620948,-0.022650122,-0.339455041,-0.175702365,-1.354560277,-1.038513556,0.139124877,-0.30267808,-0.175702365,-0.796491902
-0.906917072,0.366670352,-0.126242791,-0.146721297,0.319374987,-0.54827344,-0.42416954,0.298040717,-0.136657395,0.768565642,-0.349070828,-0.553642263,0.72130377,-0.136657395,-0.892129416,-0.613201002,-0.364610133,0.19629944,-0.136657395,-0.081232536
-0.489621103,0.055214141,0.266849737,-0.146721297,0.50527983,0.503072271,-1.597720585,1.828244523,-0.097612425,1.391966734,0.018215271,-0.842211164,1.033602042,-0.097612425,-0.391394795,-0.352271118,-0.525816174,-0.07978566,-0.097612425,-0.715259366
0.130000186,-0.30629184,0.400444141,-0.110040973,-0.537285426,0.952405375,-1.768675156,2.165731321,-0.019522485,1.51858248,0.231830721,-0.939856793,0.8222575,-0.019522485,0.337769529,0.000788784,-0.787403455,0.254549609,-0.019522485,-0.968594734
0.57597947,-0.550228679,0.847666971,-0.110040973,1.511072699,0.485661451,-0.97632523,1.379910248,0.019522485,1.46132313,0.239779203,-0.785709147,0.767761001,0.019522485,0.903272329,0.318511145,-0.666160256,0.797021529,0.019522485,0.892181077
1.029977746,-0.756612252,1.872501951,-0.146721297,1.889011116,0.439790634,-0.797711404,1.151535946,-0.019522485,0.869374356,-0.040073596,-0.388786006,-0.028507015,-0.019522485,0.892825848,0.135197648,-0.418051967,0.026791247,-0.019522485,0.860514156
0.792183812,-0.726391117,0.60341762,-0.183401621,1.479067103,0.619256017,-0.846194488,1.062471387,-0.097612425,0.825018522,0.154664209,-0.446837953,-0.051940546,-0.097612425,0.582217168,0.157283612,-0.181729331,0.150086429,-0.097612425,1.919979184
0.711377054,-0.718867713,0.140525493,-0.183401621,1.208040995,0.121708333,-0.601251514,-0.043816518,-0.136657395,0.541947651,0.148702848,-0.484740801,-0.071941745,-0.136657395,0.539038383,0.17810752,-0.330472383,-0.36093833,-0.136657395,2.18295231
