S4_T,S4_H,S4_P,S4_V,S7_T,S7_H,S7_P,S7_V,S8_T,S8_H,S8_P,S8_V,S9_T,S9_H,S9_P,S9_V
0.574257065,-0.385985269,-0.082389295,0.053430007,0.498479047,-0.38809843,-0.082389295,0,0.896598965,-0.607393753,-0.124044808,-0.240266173,0.658194205,0.580701753,-0.082389295,0.456363714
0.171812761,0.053897507,-0.123583942,0.567180071,0.443009943,0.118286927,-0.123583942,0,0.4845294,-0.040286813,-0.124044808,-0.584840851,0.327194807,0.580349385,-0.123583942,0.97110683
-0.034568934,0.234577776,-0.123583942,0.224680028,0.214695148,0.48172867,-0.123583942,0,0.084902433,0.25814476,-0.124044808,-0.149776316,0.182620358,0.544407893,-0.123583942,0.421838261
-0.089776037,0.253862205,-0.123583942,0.589100074,0.082956026,0.50486468,-0.123583942,0,0.726062182,-0.390598528,-0.124044808,0.741749373,0.29295349,0.283127341,-0.123583942,0.186437446
-0.172328715,0.236555666,-0.123583942,0.053430007,0.119605256,0.40656379,-0.123583942,0,0.188834721,-0.155833645,-0.124044808,0.759134124,0.027393054,0.569073623,-0.123583942,0.514743116
-0.099063213,0.015328649,-0.164778589,-0.020550003,-0.025505883,0.61696028,-0.164778589,0,0.183711298,-0.139602986,-0.124044808,0.445762844,-0.169684749,0.57964465,-0.164778589,1.157544275
-0.148078866,-0.677031809,-0.205973236,1.605640202,-0.054230954,0.36007453,-0.205973236,0,-0.212256081,-0.104919614,-0.165393078,0.560769658,-0.373610815,0.579468466,-0.205973236,1.289996467
-0.346205293,-1.239741566,-0.205973236,2.911250367,-0.34841531,0.034106607,-0.205973236,0,-0.106128041,-0.336013277,-0.165393078,0.365525532,-0.838531808,0.578587547,-0.205973236,1.878184638
1.313619486,-2.198326042,-0.164778589,2.761920348,1.142812122,-1.840236104,-0.164778589,0,2.279191165,-1.752621293,-0.165393078,0.107874608,0.951147696,-1.5047857,-0.164778589,0.107970507
0.814691739,-1.713644053,-0.205973236,2.46189031,0.704507148,-1.253146259,-0.205973236,0,1.881028033,-1.420182626,-0.165393078,0.04858815,0.905492606,-1.475715376,-0.205973236,0.205897246
0.612437678,-1.551457058,-0.164778589,1.380960174,0.269173733,-0.611312052,-0.164778589,0,1.378932612,-0.896454053,-0.124044808,-0.024516956,0.741134284,-0.949454413,-0.164778589,-0.490261431
0.513374465,-1.578751943,-0.164778589,0.321950041,0.165169163,-0.575467529,-0.164778589,0,0.796326264,-0.280172083,-0.124044808,-0.111440711,0.568405863,-0.731338888,-0.164778589,0.132452192
0.573741111,-2.031491005,-0.205973236,0.942560119,0.073050829,-0.621413691,-0.205973236,0,0.429635586,0.040576646,-0.124044808,-0.115006814,0.632322988,-1.062740586,-0.205973236,0.19145933
0.566001797,-2.181415081,-0.247167884,2.087880263,-0.009657567,-0.817255132,-0.247167884,0,0.016834103,0.313309677,-0.165393078,0.476966243,0.510576083,-0.781022715,-0.247167884,0.200875362
0.508730877,-2.079751526,-0.247167884,3.071540387,-0.083451286,-0.752300511,-0.247167884,0,-0.414997235,0.413302127,-0.165393078,0.59553916,0.58590698,-1.20773984,-0.247167884,-0.186437446
-0.067074051,-1.15429671,-0.247167884,1.487820187,-0.141891949,-0.619675775,-0.247167884,0,-0.939782099,0.682846993,-0.165393078,0.09405596,-0.447419876,0.293698368,-0.247167884,-0.04896337
-0.632559894,-0.491011238,-0.247167884,0.524710066,-0.333062254,-0.401024182,-0.247167884,0,-1.474813808,0.875779286,-0.165393078,-0.772952772,-0.369045306,0.22022973,-0.247167884,-0.45134183
-0.735234787,-0.504164207,-0.205973236,-0.106860013,-0.482135472,-0.119698984,-0.205973236,0,-1.692925229,0.973742904,-0.124044808,-0.588406954,-0.502966901,-0.140242292,-0.205973236,0.951647029
-1.055642367,-0.32526404,-0.164778589,-0.149330019,-0.421713769,-0.259492625,-0.164778589,0,-1.543614055,0.883121727,-0.082696539,0.268349232,-0.860598435,-0.18111693,-0.164778589,1.603864221
-1.332193838,-0.233489936,-0.123583942,-0.010960001,-0.170121761,-1.052742788,-0.123583942,0,-1.378200695,0.699077652,0,-0.612923911,-0.957235041,-0.037879514,-0.123583942,1.18202596
1.266151696,-2.152142307,0.123583942,3.714070468,1.195804927,-1.761160913,0.123583942,0,2.128416155,-1.432452231,0.124044808,0.355272987,0.499162311,0.017442195,0.123583942,1.319500036
0.892084875,-1.932003129,0.288362531,3.275670413,0.809502237,-1.184064087,0.288362531,0,1.218642675,-0.840516248,0.206741347,0.560769658,0.386546423,0.071178249,0.288362531,0.7796475
0.795085478,-1.855359885,0.370751825,3.800380479,0.369216224,-0.615439604,0.370751825,0,1.182046799,-0.649709399,0.289437886,0.912476542,0.285344309,0.219524995,0.370751825,0.436276178
0.40554003,-1.278706002,0.329557178,2.152270271,0.082956026,0.174877826,0.329557178,0,0.338145895,0.058256471,0.248089616,0.303118734,0.14457445,0.263747125,0.329557178,0.823588986
0.170264898,-1.019997967,0.247167884,2.161860272,-0.053735695,0.220932607,0.247167884,0,-0.051234227,0.529428625,0.165393078,0.149776316,-0.084461915,0.47305346,0.247167884,1.583776685
-0.065526188,-0.576060515,0.123583942,0.889130112,-0.151797146,0.322817949,0.123583942,0,0.366690679,0.118928219,0.082696539,0.567901863,-0.120225069,0.385842487,0.123583942,1.422448659
-0.222376276,-0.356514705,0,0.053430007,-0.285022048,0.295337148,0,0,-0.063676824,0.327028448,0,0.055720356,-0.366762551,0.417555568,0,0.936581377
