S7_T,S7_H,S7_R,S7_P,S8_T,S8_H,S8_R,S8_P,S9_T,S9_H,S9_R,S9_P,S4_T,S4_H,S4_R,S4_P
6.557,99.715,540.3,0.11,5.763,95.633,438.575,0.13,3.948,99.908,246.301,0.11,9.331,99.799,430.292,0.11
6.645,99.72,104.607,0.08,5.385,97.047,379.722,0.1,5.086,99.908,238.741,0.08,9.628,99.804,365.582,0.08
6.696,99.716,273.86,0.07,5.163,99.816,234.652,0.1,4.931,99.911,213.154,0.07,9.495,99.8,909.202,0.07
6.656,99.717,539.892,0.39,7.355,78.168,296.243,0.29,5.242,99.915,1335.612,0.39,9.865,99.804,622.554,0.39
7.811,94.223,298.362,0.42,6.386,91.884,441.114,0.31,6.828,99.926,439.355,0.42,10.732,95.369,463.374,0.42
9.97,87.26,212.04,0.63,6.814,95.66,245.143,0.36,7.034,99.932,301.63,0.63,11.6,86.034,236.088,0.63
10.859,82.78,264.991,0.58,7.85,88.518,890.664,0.33,7.726,94.969,288.957,0.58,12.484,83.068,883.425,0.58
9.92,82.661,170.418,0.52,8.216,94.764,155.889,0.19,7.991,99.386,81.878,0.52,13.784,68.6,132.37,0.52
10.592,85.726,20.953,0.71,9.796,75.396,45.474,0.19,8.018,90.465,109.692,0.71,16.061,59.567,81.598,0.71
12.742,73.896,0,1.04,10.576,70.811,0,0.23,9.354,92.166,0,1.04,17.591,52.314,0,1.04
7.541,99.722,179.813,0.96,4.831,95.471,559.356,0.2,5.252,99.911,173.317,0.96,9.8,99.803,89.683,0.96
6.549,99.712,366.162,0.68,4.958,95.413,315.883,0.14,4.501,99.907,136.654,0.68,9.706,99.808,325.136,0.68
7.173,99.721,246.726,0.33,5.817,86.773,329.513,0.08,5.041,99.913,416.205,0.33,9.575,99.804,1049.733,0.33
7.233,99.722,681.174,0.24,6.745,81.232,339.071,0.05,5.023,99.914,664.126,0.24,9.783,99.81,395.101,0.24
7.275,99.375,1359.844,0.12,5.6,93.395,382.31,0.04,4.826,99.914,458.624,0.12,9.865,99.804,460.832,0.12
7.622,99.728,495.93,0.05,5.39,99.82,301.866,0.03,5.339,99.916,604.968,0.05,9.895,99.812,621.077,0.05
9.323,88.794,502.4,0.08,9.508,78.501,618.919,0.06,7.497,99.93,283.417,0.08,10.949,98.792,370.404,0.08
10.85,84.638,478.763,0.38,9.506,77.932,379.519,0.21,6.83,99.925,314.684,0.38,12.469,80.523,563.956,0.38
10.955,82.786,103.269,1.25,10.496,72.035,230.482,0.56,7.113,99.927,171.014,1.25,15.001,69.761,321.604,1.25
13.369,69.039,91.273,3.08,10.9,71.194,121.369,1.63,8.954,86.527,136.841,3.08,15.98,61.834,132.058,3.08
15.155,66.179,10.57,4.09,12.352,67.194,67.46,2.57,9.335,89.37,43.972,4.09,17.009,58.649,13.028,4.09
14.707,71.742,0,3.99,13.649,62.125,0,2.46,9.71,87.438,0,3.99,18.162,49.742,0,3.99
8.717,99.733,120.896,3.19,5.762,97.47,70.264,1.67,5.737,99.921,115.979,3.19,10.651,99.811,216.844,3.19
8.423,99.734,271.341,2.49,6.331,87.911,764.061,1.25,5.472,99.908,293.717,2.49,10.692,99.815,279.49,2.49
8.258,99.732,233.403,1.84,6.345,86.348,401.929,0.89,5.375,99.904,446.177,1.84,10.534,99.815,344.953,1.84
8.074,99.733,276.864,1.29,5.135,89.323,1150.354,0.64,5.424,99.916,1123.731,1.29,10.305,99.807,482.997,1.29
7.829,99.73,608.338,0.97,5.723,88.503,384.014,0.5,5.468,99.911,320.178,0.97,10.065,99.804,965.438,0.97
8.305,99.734,405.38,0.01,6.133,84.676,1072.204,0.01,5.638,99.914,469.564,0.01,10.058,99.805,1396.173,0.01
9.382,92.545,1378.4,0.02,7.511,82.307,1028.964,0.01,5.783,99.922,609.297,0.02,10.709,99.819,1166.347,0.02
10.67,84.299,261.643,0.02,10.138,71.34,331.477,0.01,6.452,99.925,1190.974,0.02,12.549,84.859,978.011,0.02
11.471,77.522,150.188,0.02,11.941,64.963,367.574,0.01,7.917,99.931,418.308,0.02,13.183,81.578,652.11,0.02
12.324,72.978,118.231,0.03,13.563,59.479,467.089,0.02,9.889,88.07,320.982,0.03,16.55,61.244,291.577,0.03
14.312,73.549,29.292,0.04,14.457,57.169,28.338,0.03,7.744,99.93,25.89,0.04,15.913,66.418,31.011,0.04
13.774,65.757,0,0.06,14.002,63.498,0,0.04,10.121,92.907,0,0.06,19.321,47.917,0,0.06
8.481,99.736,165.656,0.02,6.192,99.827,144.495,0.02,5.66,99.918,181.124,0.02,10.659,0,177.792,0.02
8.363,99.733,273.977,0.02,5.743,99.818,457.843,0.02,5.827,99.914,897.745,0.02,10.505,0,254.753,0.02
8.299,99.731,551.976,0.02,5.281,99.816,340.926,0.02,5.717,99.916,250.549,0.02,10.358,0,689.118,0.02
8.09,99.731,743.371,0.02,5.739,99.821,334.095,0.03,5.236,99.915,400.283,0.02,10.356,99.805,385.325,0.02
7.91,99.727,452.989,0.02,5.499,98.549,557.43,0.03,5.75,99.92,978.464,0.02,10.328,99.808,542.112,0.02
8.052,99.731,317.959,0.02,5.44,99.819,1096.832,0.04,5.916,99.918,228.576,0.02,10.536,99.811,185.668,0.02
9.043,99.736,378.222,0.01,8.599,83.116,490.393,0.02,7.677,94.655,255.343,0.01,11.75,99.822,484.57,0.01
11.454,86.13,376.396,0.01,11.213,67.105,263.643,0.01,8.346,96.525,1181.943,0.01,12.535,87.945,650.816,0.01
12.479,76.491,159.752,0.02,11.291,69.451,210.268,0.02,8.986,88.545,208.596,0.02,14.88,69.352,784.783,0.02
12.891,75.76,76.886,0.03,11.353,65.197,363.834,0.03,8.621,99.935,80.021,0.03,15.474,68.914,297.14,0.03
11.791,91.898,48.077,0.04,13.785,61.6,61.315,0.03,8.759,99.931,56.164,0.04,14.639,80.985,24.865,0.04
12.313,82.126,0,0.05,13.366,74.622,0,0.04,9.32,98.009,0,0.05,15.44,73.585,0,0.05
6.783,95.261,130.912,0.03,6.408,87.703,424.91,0.02,5.222,99.919,230.116,0.03,10.154,99.811,172.325,0.03
7.222,98.749,201.822,0.03,6.254,93.388,684.834,0.01,5.348,99.916,253.581,0.03,10.055,99.809,224.009,0.03
7.986,95.263,243.986,0.03,7.493,82.413,512.121,0.01,5.596,99.918,293.859,0.03,9.934,99.807,487.754,0.03
7.709,99.154,427.049,0.05,7.428,83.007,342.922,0.02,5.823,98.531,516.947,0.05,9.971,99.806,409.391,0.05
7.502,99.722,551.898,0.07,6.061,95.644,533.245,0.03,5.814,99.917,524.917,0.07,10.115,99.809,1554.911,0.07
7.647,99.726,1259.125,0.23,6.031,89.943,404.402,0.11,6.258,99.923,406.166,0.23,10.463,99.811,638.649,0.23
8.779,99.738,448.618,0.17,10.382,69.426,78.373,0.12,7.14,99.484,1215.209,0.17,11.262,97.107,410.882,0.17
10.398,87.753,296.146,0.07,11.779,67.29,415.635,0.07,7.301,96.334,488.783,0.07,12.751,77.885,326.013,0.07
11.993,77.235,798.088,0.09,11.717,70.2,224.73,0.13,8.796,85.54,211.835,0.09,16.01,65.591,753.172,0.09
14.107,72.221,181.454,0.29,10.842,76.383,44.573,0.33,10.308,83.833,372.789,0.29,14.959,66.093,441.428,0.29
14.701,65.408,78.967,0.47,13.712,65.818,39.48,0.49,10.194,85.2,59.555,0.47,17.268,56.384,58.205,0.47
16.185,61.999,0,0.59,11.056,84.462,0,0.58,10.429,76.338,0,0.59,18.976,48.145,0,0.59
8.434,99.731,130.07,0.05,6.64,99.829,105.549,0.05,6.629,99.922,78.393,0.05,10.774,99.805,121.233,0.05
8.408,99.731,269.515,0.06,6.867,99.831,353.15,0.06,6.011,99.92,330.411,0.06,10.784,99.812,398.357,0.06
8.399,99.732,201.466,0.06,6.81,99.832,1240.993,0.07,6.101,99.923,486.845,0.06,10.814,99.813,376.851,0.06
8.586,99.731,1290.095,0.05,6.476,99.824,1422.744,0.06,6.119,99.921,1171.488,0.05,10.817,99.812,658.202,0.05
8.517,99.732,717.822,0.04,6.321,99.826,1402.756,0.05,6.257,99.626,356.763,0.04,10.662,99.809,887.555,0.04
8.723,99.735,1330.208,0.05,6.585,99.831,596.671,0.06,6.608,99.919,392.541,0.05,10.786,99.813,945.468,0.05
9.658,98.908,404.027,0.05,6.958,99.837,540.062,0.05,6.922,99.928,398.225,0.05,11.619,99.824,463.618,0.05
10.523,92.396,353.342,0.07,8.839,99.852,268.16,0.08,8.216,92.739,195.114,0.07,13.922,77.472,377.682,0.07
11.36,85.427,204.383,0.09,12.585,69.143,133.315,0.11,9.406,92.125,211.097,0.09,14.618,71.028,207.93,0.09
