Temperatura,Humedad,Radiacion,Precipitacion
1.24259017,-1.273572222,2.826648423,1.462925883
2.216481552,-2.258497088,3.593058642,1.927780837
1.922531058,-2.325277207,1.652515312,1.531286906
0.889581599,-1.530561027,-0.00291873,0.683610226
-0.095647286,-0.033858035,-0.111630769,0.478527158
-0.620264403,0.936419194,-0.111630769,0.095705432
-0.488337112,1.048031377,-0.111630769,-0.218755272
-0.412581988,0.816664236,0.021993354,-0.232427477
0.458035062,-0.007113229,1.520936769,0.451182749
1.321025067,-1.283212519,2.470941927,1.025415339
0.766312036,-0.766099471,0.907547023,0.464854953
0.011646706,0.233426234,-0.011995899,0.109377636
-0.460817904,0.912926818,-0.111630769,-0.15039425
-0.295187313,0.464161608,-0.111630769,-0.15039425
-0.546776779,0.717780989,-0.111630769,-0.068361023
-0.579758602,0.522307577,0.036375264,-0.27344409
0.64840202,-0.255421088,1.904468842,-0.246099681
1.270521651,-1.00135081,2.70108242,-0.218755272
0.727970667,-0.583518787,1.141678417,-0.218755272
0.129865927,-0.140626671,-0.033488707,-0.287116295
-0.266637423,0.409291468,-0.111630769,-0.314460704
-0.261174808,0.036034122,-0.111630769,-0.314460704
-0.361975504,0.033460256,-0.111630769,-0.27344409
-0.168619568,-0.156771829,-0.033922663,0.041016614
0.47761802,-0.544232235,0.888442471,0.041016614
0.878244097,-0.837067972,1.40514825,0.15039425
1.123855608,-1.252723908,1.118137036,0.082033227
0.598413945,-0.926591706,0.015885045,-0.218755272
0.020407503,-0.087885819,-0.111630769,-0.341805113
-0.158415817,-0.042609179,-0.111630769,-0.355477317
-0.719209871,-0.034489802,-0.111630769,-0.355477317
-0.59016849,0.045183045,0.081295727,-0.355477317
0.765178286,-0.995992489,1.405294898,-0.341805113
1.144675383,-1.178853958,0.861031397,-0.123049841
1.064797532,-1.335836376,0.515835622,0.177738659
0.453190857,-1.09248906,-0.004632109,0.451182749
-0.629334404,0.043030357,-0.111630769,0.246099681
-0.495036545,0.55122847,-0.111630769,0.109377636
-0.575429738,1.100631835,-0.111630769,-0.068361023
-0.538325187,1.121620541,-0.012560042,0.027344409
0.711788961,-0.459411656,1.486494107,1.462925883
0.878037961,-0.933962322,0.555834421,1.093776361
