Temperatura ,Humedad,Radiacion,Precipitacion
-0.092953523,0.729357642,0.5613341,0.02151129
1.0922039,-0.822056231,1.089344146,1.771096203
0.197526237,0.104929652,-0.196598536,2.251515012
-0.830772115,1.04865278,-0.249952711,4.495859593
-0.493815593,0.522073299,0.722824161,0.709872567
0.610007497,-0.540098025,0.864417933,-0.11472688
0.110382309,0.183465956,-0.176434584,-0.222283329
-0.976011996,0.873555446,-0.249952711,-0.358521499
-0.650674664,0.823343711,0.081681851,-0.09321559
0.296289356,0.178316034,1.152334192,2.086595122
0.098763119,0.518210858,-0.14922217,2.079424692
-0.482196403,1.191563103,-0.249952711,-0.12906774
-0.197526237,0.903167495,0.524128931,-0.415884938
1.109632685,-0.68944575,1.990208869,0.229453759
-0.261431785,0.708757956,-0.201059587,0.616656978
-1.063155924,0.873555446,-0.249952711,-0.150579029
-0.273050975,0.372725574,0.31838524,-0.222283329
1.144490257,-0.934067025,0.738527062,0.236624189
-0.313718141,0.249127456,-0.20908948,0.06453387
-0.807533734,0.863255603,-0.249952711,-0.351351069
-0.447338831,0.173166113,0.631194165,-0.329839779
1.731259373,-1.355073113,2.068634153,0.932155897
0.395052474,-0.259427299,-0.157341284,0.838940307
-0.801724139,0.477011485,-0.249952711,-0.164919889
-0.156859071,0.210503044,0.799286583,-0.10038602
1.713830588,-1.262374525,2.284549042,2.344730601
-0.14523988,0.800169064,-0.212658321,2.81080855
-0.511244379,1.199287986,-0.249952711,0.200772039
0.249812594,0.117804456,1.051335988,-0.05736344
1.568590707,-1.201862947,1.600223754,0.537782248
0.168478261,-0.16415375,-0.172954963,0.623827408
-0.586769116,0.737082525,-0.249952711,0.236624189
-0.302098951,0.618634329,0.746289292,0.394373649
0.993440781,-0.643096456,1.061864069,1.333699975
0.255622189,-0.017380985,-0.186159676,0.580804828
-0.592578712,1.003590966,-0.249952711,0.315498919
0.029047976,0.323801319,0.571505297,0.02151129
1.074775114,-0.365000691,1.521352365,1.032541916
0.371814094,0.022530907,-0.146813202,0.745724717
-0.389242879,1.088564672,-0.249952711,0.03585215
0.151049476,0.36113825,1.117181107,0.04302258
1.556971517,-1.473521309,2.539096636,0.552123108
0.26724138,-0.019955946,-0.169029238,0.11472688
-0.499625188,0.944366868,-0.249952711,0.12906774
-0.040667166,0.547822907,0.514849944,0.08604516
1.312968518,-1.237912398,2.22628771,1.498619864
-0.029047976,-0.439674554,-0.108626602,0.293987629
-1.161919042,0.793731662,-0.249952711,0.781576867
-0.151049476,0.215652966,0.927764863,0.322669349
0.987631186,-1.27782429,1.321586483,0.910644607
0.162668666,-0.833643554,-0.162872987,0.702702137
-0.551911545,0.46027424,-0.249952711,0.394373649
0.14523988,-0.168016191,0.535103118,0.172090319
1.603448279,-1.57523226,2.147148658,0.200772039
0.174287856,-0.200203201,-0.167958586,-0.02151129
-0.830772115,1.248212241,-0.249952711,-0.05019301
-0.191716642,0.42679975,0.844253981,0.265305909
1.835832087,-1.501845878,2.286868789,0.0717043
0.429910046,-0.388175338,-0.17179509,0.02151129
-0.185907047,0.29418927,-0.249952711,-0.08604516
0.360194903,-0.269727142,0.979602281,-0.215112899
1.969452777,-1.928001888,1.759929395,0.179260749
-0.354385308,-0.140979103,-0.20819727,0.415884938
-1.080584709,0.515635897,-0.249952711,-0.136238169
-0.058095952,-0.417787387,1.222194257,0.265305909
