S6_T,S6_H,S6_P,S6_V,S2_T,S2-H,S2_P,S2_V,S3_T,S3_H,S3_P,S3_V,S5_T,S5_H,S5_P,S5_V
-0.750525705,0.278668354,-0.124044808,-0.129472228,-0.812128197,-0.269655655,-0.205973236,-0.828940949,-1.416919271,-0.583573853,-0.205973236,-0.460540315,-0.996227467,-0.561251278,-0.205973236,-0.490871248
-0.507241908,-0.128984767,-0.082696539,0.55330012,-0.696534513,-1.370871048,-0.164778589,4.36026444,-1.558142408,-0.546510548,-0.164778589,-0.467641157,-1.211885367,-0.51182522,-0.164778589,0.611628712
-0.497625948,-0.159316689,0,0.760234366,-0.520171578,-2.380986557,-0.123583942,4.127179565,-1.381759984,-1.017075961,-0.123583942,-0.20693882,-0.953095887,-0.983483257,-0.123583942,1.886639335
1.427489313,-2.207561202,0.124044808,0.87310759,0.383440763,-1.697858897,0.123583942,2.798771025,0.675058313,-2.317409092,0.123583942,2.836279123,1.060084612,-2.716118511,0.123583942,2.841721093
0.877456381,-1.488388378,0.206741347,1.728509576,0.146969112,-1.124536963,0.288362531,1.225009985,0.369758503,-1.677287721,0.288362531,2.060258548,0.586197382,-2.012035454,0.288362531,3.086372578
0.498106746,-1.026098277,0.289437886,1.88454021,-0.090163073,-0.183657365,0.370751825,0.90955677,0.223261473,-1.343717981,0.370751825,0.696896909,0.416471814,-1.553312612,0.370751825,1.910163516
0.1697217,-0.370849731,0.248089616,0.440426896,-0.343808643,0.258723669,0.329557178,1.759527933,0.141223137,-1.249154597,0.329557178,0.102455004,0.19465226,-1.147692146,0.329557178,1.494569648
-0.008654364,-0.120092673,0.165393078,1.313534486,-0.453457509,0.094986812,0.247167884,1.088313592,0.18693021,-1.448846139,0.247167884,-0.571110567,-0.004201128,-0.723009289,0.247167884,0.46421051
-0.105775564,-0.00469305,0.082696539,1.218366865,-0.515547831,0.173454178,0.123583942,-0.541528019,-0.063286717,-1.172256899,0.123583942,-0.714141811,-0.068058272,-0.735536003,0.123583942,0.991152169
-0.159144144,-0.075731003,0,0.959422409,-0.588206718,0.133613163,0,-0.979657485,-0.047465038,-1.650615998,0,-0.238385406,-0.271392864,-0.662826595,0,1.849000645
-0.226455866,-0.106062924,-0.082696539,0.786792771,-0.707103078,-0.216939189,-0.082389295,-0.431119394,-0.309987715,-1.482791969,-0.082389295,0.617773243,-0.296039481,-0.965918624,-0.082389295,1.849000645
-0.427429437,0.064665285,-0.124044808,1.296935482,-0.969335607,-0.101303071,-0.123583942,-0.650184127,-0.384994194,-1.686640144,-0.123583942,0.800366319,-0.414231213,-1.167435338,-0.123583942,-0.086255331
-0.732736178,0.341703422,-0.165393078,0.812244577,-1.046618241,0.035954087,-0.164778589,-1.005945253,-0.418395517,-2.036316834,-0.164778589,0.419964076,-0.728475581,-0.806883813,-0.164778589,-0.258765994
-0.815914235,0.391696752,-0.165393078,0.104020423,-1.162872461,0.265282861,-0.205973236,-0.527507876,-0.645172919,-1.891007898,-0.205973236,-0.20693882,-0.895400397,-0.142831779,-0.205973236,-0.208581074
-0.863994037,0.51124602,-0.206741347,-0.086314819,-1.211752076,0.207950668,-0.247167884,-0.17174675,-1.022549267,-0.503385488,-0.247167884,-0.080138073,-1.048881604,0.473564276,-0.247167884,-0.185056892
0.474547643,-0.658163177,0.165393078,1.512722529,-0.642370615,-0.096930276,0.164778589,0.471427305,-0.137707208,-1.317046257,0.164778589,1.275108318,0.060776317,-1.125089596,0.164778589,1.016244629
0.201935167,-0.356029574,0.124044808,1.659900361,-0.790330531,0.083326027,0.164778589,1.102333735,-0.671542384,-0.018964635,0.164778589,0.507202991,-0.142558274,-0.910637688,0.164778589,2.008965078
-0.175491276,0.267800239,0.082696539,1.340092892,-0.889410831,0.275243115,0.123583942,0.143706465,-0.792255936,0.241344462,0.123583942,-0.34084041,-0.49657332,-0.215268867,0.123583942,0.183488614
-0.201454369,0.160008296,0.041348269,1.60789015,-1.031425929,0.38820697,0.082389295,0.089378411,-0.786396055,0.304906297,0.082389295,-1.007305139,-0.714471822,0.374303679,0.082389295,-0.895487166
-0.311557115,0.275506721,0.082696539,1.633341956,-1.2196785,0.270627387,0.082389295,-0.869248859,-0.870192356,0.101924087,0.082389295,-0.22215491,-0.725674829,0.2328335,0.082389295,1.102499961
-0.49474116,0.454830622,0.082696539,1.633341956,-1.352446102,-3.89931795,0.082389295,-0.294423001,-0.794013901,-1.703959445,0.082389295,0.74457399,-0.875234983,0.125675626,0.082389295,-0.159964432
-0.710619469,0.344173448,0.082696539,2.057169848,-1.491819059,-2.848875559,0.041194647,-0.814920806,-0.614701536,-3.956854141,0.041194647,0.894706075,-0.757603401,-1.239736266,0.041194647,0.525373381
-1.051505264,0.10092527,0,1.815930995,-1.616660237,-2.200487321,-0.041194647,-0.417099251,-0.91882937,-2.685790628,-0.041194647,-0.230270158,-0.959257542,-1.53425022,-0.041194647,-0.980174218
-1.195263871,-0.065653296,-0.041348269,1.399849305,-1.728290709,-1.466829592,-0.082389295,-0.336483429,-1.047746756,-2.211588162,-0.082389295,-0.214039662,-1.079129725,-1.271053053,-0.082389295,-0.05018492
-1.277480332,0.005582259,-0.082696539,0.73478256,-1.819444586,-1.013030705,-0.123583942,-0.855228717,-1.239950859,-1.76977279,-0.123583942,-0.507202991,-1.401216199,-0.196751115,-0.123583942,-0.172510662
-1.301039434,0.201010731,-0.124044808,-1.05459003,-1.913240604,-0.484651381,-0.164778589,-0.800900663,-1.628460982,-1.315833906,-0.164778589,-0.095354162,-1.621915452,-0.002450879,-0.164778589,-0.55203412
-1.252478835,0.289338867,-0.124044808,-0.829950181,-1.873608483,-0.66223542,-0.164778589,-0.883269002,-2.465252015,-0.264379132,-0.164778589,-0.515318238,-1.79108087,0.056914856,-0.164778589,-0.650835681
