Temperatura,Humedad,Radiacion,Precipitacion
0.160310103,0.324657322,0.765691807,0.752895147
1.129548648,-1.253318237,0.48783305,0.810258587
-0.397739852,-0.27515569,-0.168106424,0
-1.411536415,0.517720124,-0.245033801,-0.430225798
-0.011822108,-0.148781693,1.564389472,-0.215112899
2.45223045,-2.752683403,1.899439372,1.240484385
0.724924669,-0.716820966,-0.160398893,1.369552125
-1.293024869,0.616916502,-0.245033801,0.286817199
-0.402271176,-0.081951271,0.651894112,-0.408714508
2.282189619,-2.372891949,2.017043156,-0.236624189
0.05585728,-0.698552354,-0.186624459,-0.143408599
-1.359310003,0.33290974,-0.245033801,-0.143408599
0.24721857,-0.354345427,1.018502202,0.523441388
2.596187122,-2.674562232,2.296185164,2.387753181
-0.018154342,0.128942417,-0.227496918,0.473248378
-0.686408417,0.993540883,-0.245033801,-0.10755645
0.184883821,0.163715866,1.30147436,-0.279646769
1.589013264,-1.265471564,2.13535362,2.63871823
-0.197490196,0.68751909,-0.21385613,4.481518733
-0.890666552,0.491778437,-0.245033801,1.498619864
-0.315769366,0.452151382,0.444477856,0.344180639
0.344816314,0.237781636,0.871568987,0.767236007
-0.494117624,0.99791814,-0.200177023,0.968008046
-0.837336356,0.924122729,-0.245033801,0.501930098
0.041043337,0.191537199,0.729360633,-0.11472688
1.311614915,-0.866523171,1.356012559,1.426915565
-0.134806883,0.60775001,-0.231366279,1.828459643
-0.454090931,1.134192464,-0.245033801,1.914504803
-0.071426444,0.665401066,0.695317034,1.197461806
1.236557603,-0.849426118,1.483309349,1.591835454
0.187672328,0.363125691,-0.189861105,0.860451597
-0.33029284,0.953952451,-0.245033801,0.200772039
-0.089842209,0.728472196,0.565285313,0.02151129
1.092775212,-0.820858076,1.092691084,1.771096203
0.190344647,0.105717204,-0.19994889,2.251515012
-0.830306995,1.048977561,-0.245033801,4.495859593
-0.491793868,0.522676724,0.726696103,0.709872567
0.607807377,-0.539052817,0.868017766,-0.11472688
0.11000079,0.182486575,-0.183713082,-0.222283329
-0.971707535,0.872522588,-0.245033801,-0.358521499
-0.660382352,0.822776345,0.086153868,-0.09321559
0.297818353,0.178997644,1.155558835,2.086595122
0.096464913,0.515943473,-0.157792288,2.079424692
-0.483951193,1.190903696,-0.245033801,-0.12906774
-0.197954947,0.903047522,0.528120917,-0.415884938
1.104510179,-0.690415805,1.992551762,0.229453759
-0.268655218,0.707783217,-0.20089707,0.616656978
-1.065064425,0.874041754,-0.245033801,-0.150579029
-0.280506372,0.371996074,0.322552008,-0.222283329
1.14494353,-0.937537736,0.742273354,0.236624189
-0.316292211,0.248711906,-0.21022025,0.06453387
-0.807882751,0.863368971,-0.245033801,-0.351351069
-0.44467972,0.173654815,0.635036283,-0.329839779
1.727741485,-1.354535879,2.070879131,0.932155897
0.401167392,-0.260440381,-0.169163324,0.838940307
-0.810671258,0.47629067,-0.245033801,-0.164919889
-0.162924329,0.211672583,0.802943535,-0.10038602
1.709674284,-1.262858084,2.28640839,2.344730601
