S7_T,S7_H,S7_P,S8_T,S8_H,S8_P,S9_T,S9_H,S9_P,S4_T,S4_H,S4_P
8.552,99.732,0.03,6.346,99.814,0.03,5.54,99.914,0.03,10.809,99.81,0.03
12.03,81.964,0.08,13.962,57.925,0.06,8.423,99.933,0.08,16.34,65.29,0.08
13.213,73.628,0.09,11.328,69.199,0.07,9.576,97.211,0.09,17.266,58.05,0.09
13.35,70.734,0.09,10.903,84.433,0.07,9.931,92.88,0.09,17.435,54.134,0.09
12.953,72.634,0.09,9.825,93.592,0.07,8.934,87.391,0.09,17.019,59.005,0.09
12,81.186,0.08,8.273,99.843,0.07,8.589,91.717,0.08,15.096,67.567,0.08
9.762,92.057,0.08,7.84,99.837,0.07,5.778,99.914,0.08,13.313,75.385,0.08
8.603,94.071,0.08,7.347,99.834,0.07,3.936,99.907,0.08,11.993,90.2,0.08
8.471,93.053,0.06,8.162,86.919,0.05,5.748,98.319,0.06,11.02,99.81,0.06
8.326,94.368,0.05,7.111,88.289,0.04,5.234,99.915,0.05,10.691,99.805,0.05
7.51,94.745,0.04,7.104,82.266,0.03,5.705,97.579,0.04,10.215,99.804,0.04
6.614,95.5,0.03,6.345,83.496,0.03,6.021,89.314,0.03,10.063,99.801,0.03
5.963,95.76,0.03,6.332,82.618,0.02,5.733,99.918,0.03,10.024,99.807,0.03
15.013,63.473,0.73,9.658,89.3,0.71,12.061,71.526,0.73,18.413,48.669,0.73
16.43,55.5,0.84,10.104,97.135,0.85,11.871,79.866,0.84,18.895,50.499,0.84
17.36,58.124,0.9,10.187,98.259,0.92,10.718,75.211,0.9,19.162,45.88,0.9
14.955,57.491,0.91,8.843,99.849,0.96,11.568,70.472,0.91,19.049,45.299,0.91
13.557,62.089,0.91,8.333,99.845,1,9.569,93.052,0.91,17.811,48.254,0.91
12.144,70.426,0.79,7.646,99.833,0.86,7.647,99.925,0.79,13.844,74.74,0.79
10.392,90.198,0.65,7.317,99.839,0.66,7.152,99.924,0.65,12.972,85.715,0.65
9.352,99.732,0.49,7.53,99.832,0.4,6.669,99.924,0.49,12.821,84.838,0.49
9.343,99.736,0.38,7.353,99.833,0.27,6.624,99.913,0.38,12.228,90.943,0.38
9.257,99.733,0.24,7.302,99.839,0.16,6.629,99.926,0.24,11.735,99.818,0.24
8.873,99.734,0.11,6.919,99.836,0.07,5.672,99.915,0.11,11.363,99.816,0.11
8.678,99.726,0.05,6.783,99.831,0.05,6.456,99.922,0.05,11.22,99.816,0.05
13.79,68.27,0.39,14.223,56.983,0.39,10.574,80.409,0.39,17.039,60.325,0.39
13.542,73.661,0.46,9.663,99.852,0.43,10.075,78.428,0.46,17.39,54.402,0.46
13.541,70.538,0.5,8.856,99.849,0.45,9.746,80.115,0.5,16.082,64.803,0.5
13.206,69.592,0.53,8.586,99.846,0.46,9.645,83.568,0.53,16.958,61.191,0.53
12.668,72.362,0.54,8.478,99.849,0.47,8.498,98.142,0.54,16.015,61.195,0.54
10.967,86.25,0.52,8.038,99.845,0.46,5.739,95.555,0.52,14.892,66.434,0.52
11.053,85.167,0.49,8.135,99.84,0.46,7.401,86.126,0.49,14.788,62.472,0.49
10.834,86.926,0.43,8.011,99.84,0.44,7.199,89.007,0.43,13.135,76.635,0.43
9.545,93.845,0.39,7.773,99.837,0.44,7.315,86.786,0.39,12.64,79.944,0.39
9.749,86.72,0.37,7.757,99.84,0.43,6.139,99.911,0.37,11.775,89.533,0.37
8.803,92.126,0.32,7.412,99.839,0.38,5.638,99.915,0.32,11.434,99.814,0.32
7.071,94.998,0.27,6.652,99.836,0.3,5.546,99.917,0.27,10.556,99.804,0.27
15.72,56.057,1.01,8.771,99.847,1.05,13.361,62.675,1.01,20.849,41.287,1.01
16.057,56.118,1.09,8.683,99.853,1.2,13.99,61.81,1.09,21.594,38.932,1.09
14.898,55.163,1.04,8.352,99.843,1.18,12.961,61.994,1.04,21.23,38.128,1.04
15.982,58.892,0.97,8.096,99.839,1.19,12.393,68.286,0.97,20.092,45.104,0.97
13.38,67.189,0.76,7.389,99.835,0.89,9.158,87.724,0.76,16.747,58.728,0.76
11.75,78.605,0.61,7.3,99.834,0.69,6.843,99.917,0.61,15.177,65.683,0.61
10.783,81.976,0.38,7.171,99.833,0.39,5.624,99.91,0.38,14.411,67.415,0.38
10.54,83.584,0.25,7.218,99.832,0.25,7.214,99.922,0.25,13.749,76.834,0.25
9.919,93.392,0.17,7.113,99.831,0.18,7.619,99.927,0.17,13.474,76.065,0.17
9.436,93.301,0.14,6.978,99.831,0.15,6.907,99.917,0.14,12.725,78.349,0.14
9.2,95.162,0.14,6.905,99.835,0.15,5.311,99.912,0.14,12.467,81.59,0.14
7.861,99.724,0.12,6.542,99.831,0.14,4.441,99.901,0.12,11.628,99.813,0.12
18.576,47.07,0.11,8.487,99.846,0.13,15.173,59.03,0.11,21.409,36.656,0.11
17.06,46.084,0.13,8.766,99.855,0.17,14.196,54.658,0.13,22.536,34.658,0.13
16.278,50.403,0.16,7.682,99.843,0.21,14.17,55.635,0.16,21.169,38.267,0.16
14.81,61.816,0.19,7.576,99.844,0.22,12.433,66.384,0.19,19.354,48.424,0.19
12.778,69.793,0.2,7.461,99.837,0.21,10.673,73.048,0.2,17.655,51.664,0.2
11.301,78.503,0.22,6.595,99.829,0.22,7.826,99.921,0.22,16.231,65.454,0.22
11.321,78.633,0.21,6.596,99.831,0.21,6.493,97.772,0.21,14.81,70.329,0.21
9.898,86.956,0.17,6.686,99.833,0.17,5.162,99.91,0.17,13.67,75.871,0.17
8.836,89.684,0.13,6.384,99.832,0.13,6.588,99.916,0.13,13.206,82.374,0.13
9.109,87.03,0.1,6.39,99.828,0.11,5.567,99.912,0.1,12.594,99.825,0.1
8.432,94.29,0.08,6.68,99.831,0.09,5.101,92.961,0.08,12.445,99.339,0.08
7.275,99.715,0.06,6.198,99.832,0.07,4.051,99.899,0.06,11.884,94.266,0.06
16.276,47.616,0.05,8.807,99.853,0.05,12.833,53.721,0.05,20.659,34.462,0.05
15.944,50.458,0.07,8.77,99.847,0.06,12.06,55.103,0.07,20.619,34.583,0.07
14.733,50.59,0.07,9.367,99.848,0.06,12.581,61.407,0.07,19.229,35.398,0.07
14.661,54.21,0.07,8.233,99.848,0.07,11.997,56.271,0.07,19.102,37.705,0.07
12.752,56.717,0.07,8.012,99.842,0.07,9.104,74.118,0.07,17.683,41.761,0.07
9.24,73.806,0.07,7.891,99.842,0.06,6.223,88.856,0.07,15.406,57.767,0.07
9.182,71.865,0.07,7.661,99.842,0.07,5.754,83.643,0.07,13.783,68.738,0.07
7.196,81.218,0.06,7.475,99.842,0.06,3.44,99.285,0.06,12.558,77.14,0.06
6.176,85.308,0.05,6.898,99.835,0.05,4.869,84.892,0.05,10.837,91.421,0.05
5.977,84.179,0.04,4.211,99.81,0.05,3.714,92.449,0.04,10.062,81.48,0.04
5.333,86.348,0.04,4.175,99.808,0.05,3.992,93.965,0.04,10.34,91.021,0.04
5.302,88.486,0.05,4.332,99.811,0.05,1.928,99.886,0.05,11.132,99.808,0.05
16.413,48.672,0.37,8.872,99.855,0.42,14.206,66.66,0.37,19.351,44.724,0.37
