Temperatura,Humedad,Radiacion,Precipitacion
-0.505084191,1.019035919,-0.033544939,0.054688818
0.64939396,-0.291320257,2.091017781,0.082033227
1.443097688,-1.295146684,3.25490736,0.546888181
1.195709513,-1.311526137,1.189198038,0.560560385
0.48446851,-0.459794622,0.017221732,0.177738659
-0.134001928,0.494893448,-0.11860532,0.095705432
-0.350466581,0.64464844,-0.11860532,0.191410863
-0.6597018,1.143051771,-0.11860532,0.109377636
-0.587546916,1.054134745,0.030549855,0.109377636
0.391697944,0.01286957,1.015932438,0.109377636
1.154478151,-0.986277014,2.4025065,1.189481793
1.051399744,-1.192190128,1.516560701,1.722697769
0.371082263,-0.801423197,0.11860532,0.546888181
-0.546315553,0.073707535,-0.11860532,0.068361023
-1.072015426,0.65868797,-0.11860532,0.587904794
-1.113246788,0.855241397,-0.11860532,0.957054316
-0.907089976,0.785043745,0.084012102,0.300788499
0.515392032,-0.32173924,1.655532591,0.369149522
0.752472366,-0.93947858,1.280248586,0.970726521
0.876166454,-1.311526137,1.120311109,0.820332271
0.288619538,-0.855241397,0.027554771,0.669938021
-0.123694088,-0.588490318,-0.11860532,0.724626839
-0.690625322,0.677407344,-0.11860532,0.628921408
-0.412313625,0.230482292,-0.11860532,0.177738659
-0.360774422,0.251541587,-0.013028615,0.068361023
0.49477635,-0.485533762,1.093505109,0.314460704
1.226633035,-1.304506371,2.256046901,0.328132908
1.494636891,-1.487020267,1.530188333,0.109377636
0.515392032,-0.801423197,0.019018782,-0.041016614
-0.3298509,0.508932979,-0.11860532,0.054688818
-0.670009641,1.138371928,-0.11860532,0.041016614
-0.927705657,1.201549815,-0.11860532,-0.082033227
-0.97924486,1.086893649,0.035641498,0.218755272
0.515392032,-0.239841979,1.563733272,0.341805113
1.659562342,-1.299826528,2.683445364,0.109377636
1.47402121,-1.358324571,1.337304933,0.082033227
0.700933163,-0.918419284,0.012579352,0.068361023
-0.061847044,0.284300492,-0.11860532,0.027344409
-0.175233291,0.380237283,-0.11860532,-0.013672205
-0.278311697,0.225802448,-0.11860532,-0.095705432
-0.226772494,0.22814237,0.011830581,-0.205083068
0.742164525,-0.646988362,1.814721297,-0.15039425
